census_tract,county,state,full_fips,median_income,total_population,pct_nonwhite,pct_no_vehicle,pct_poverty
2011,Essex,Massachusetts,25009201100,105867,3336,0.05785371702637887,0.015375153751537515,0.04591061112800243
2021.01,Essex,Massachusetts,25009202101,107045,2292,0.1601221640488656,0.11811926605504587,0.03279405334499344
2021.03,Essex,Massachusetts,25009202103,122083,1541,0.07268007787151198,0.0946843853820598,0.20246593121349774
2021.04,Essex,Massachusetts,25009202104,83024,5021,0.12885879306910974,0.105175983436853,0.0845386025667142
2022,Essex,Massachusetts,25009202200,168571,6354,0.12858042178155493,0.03751030502885408,0.03157063930544594
2031,Essex,Massachusetts,25009203100,209592,7116,0.06632939853850472,0.018414731785428344,0.0094151212553495
2032,Essex,Massachusetts,25009203200,178864,4586,0.09616223288268644,0.018232044198895028,0.03139991277802006
2033.01,Essex,Massachusetts,25009203301,126467,4302,0.04741980474198049,0.05977653631284916,0.04881450488145049
2033.02,Essex,Massachusetts,25009203302,143125,4346,0.08513575701794751,0.05110896817743491,0.041877588587206624
2041.01,Essex,Massachusetts,25009204101,88090,4905,0.20876656472986743,0.09117792015771316,0.1265397536394177
2041.02,Essex,Massachusetts,25009204102,91548,5025,0.2897512437810945,0.07243460764587525,0.11958075273939972
2042,Essex,Massachusetts,25009204200,77283,5177,0.35850878887386517,0.25121555915721233,0.1457646830781159
2043,Essex,Massachusetts,25009204300,42226,4299,0.6017678529890672,0.40199809705042816,0.3256031857577887
2044,Essex,Massachusetts,25009204400,80476,3353,0.14643602743811512,0.2013274336283186,0.12848158131176998
2045,Essex,Massachusetts,25009204500,110438,3514,0.15196357427433127,0.15685195376995048,0.07712009106431417
2046,Essex,Massachusetts,25009204600,95867,5095,0.19116781157998042,0.07768666378938283,0.07850834151128558
2047.01,Essex,Massachusetts,25009204701,74342,6680,0.43398203592814366,0.08501040943789036,0.09700598802395209
2047.02,Essex,Massachusetts,25009204702,77192,6410,0.31404056162246485,0.1012710127101271,0.1514820592823713
2051,Essex,Massachusetts,25009205100,86619,6010,0.4462562396006655,0.041765543426673,0.06420331048319679
2052,Essex,Massachusetts,25009205200,86082,6193,0.6031002745034717,0.09865678554886521,0.07459775719161385
2053,Essex,Massachusetts,25009205300,119133,4379,0.32404658597853386,0.06646341463414634,0.06531171500342543
2054,Essex,Massachusetts,25009205400,115712,5454,0.26420975430876426,0.03792526491912995,0.06729006233956729
2055,Essex,Massachusetts,25009205500,68250,4949,0.5795110123257223,0.15182307232516437,0.10370069133794226
2056,Essex,Massachusetts,25009205600,70775,3737,0.5301043617875301,0.06304493628437291,0.19946308724832215
2057,Essex,Massachusetts,25009205700,93189,5364,0.5335570469798658,0.03367183324425441,0.03643955209717214
2058,Essex,Massachusetts,25009205800,58616,3628,0.6940463065049614,0.17234848484848486,0.2155457552370452
2059,Essex,Massachusetts,25009205900,82826,4574,0.654569304766069,0.11947513812154696,0.1392377175589337
2060,Essex,Massachusetts,25009206000,61742,3552,0.7840653153153153,0.22430741733690795,0.09768786127167631
2061,Essex,Massachusetts,25009206100,52917,4296,0.8787243947858473,0.19852034525277434,0.23370577281191807
2062,Essex,Massachusetts,25009206200,90710,6456,0.8739157372986369,0.20580474934036938,0.13177570093457944
2063,Essex,Massachusetts,25009206300,78937,4706,0.7362940926476838,0.08602771362586605,0.03761155971100723
2064,Essex,Massachusetts,25009206400,90842,6556,0.703935326418548,0.07196779063915451,0.07767898923724847
2065,Essex,Massachusetts,25009206500,45080,3359,0.7966656743078298,0.2134096484055601,0.2501510574018127
2066,Essex,Massachusetts,25009206600,71728,5517,0.6420155881819829,0.13041314086610253,0.12325539242341853
2067,Essex,Massachusetts,25009206700,67876,4048,0.5318675889328064,0.2669193286410395,0.15495764823119082
2068,Essex,Massachusetts,25009206800,32613,4061,0.8007879832553558,0.5335423197492163,0.32872655478775914
2069,Essex,Massachusetts,25009206900,20918,4758,0.6412358133669609,0.3181997631267272,0.3482085389401416
2070,Essex,Massachusetts,25009207000,25868,2521,0.8266560888536295,0.3745019920318725,0.2870065789473684
2071,Essex,Massachusetts,25009207100,92684,3965,0.826733921815889,0.15765352887259396,0.11346980035380339
2072,Essex,Massachusetts,25009207200,36300,2570,0.7844357976653696,0.4245098039215686,0.23768230193141507
2081.01,Essex,Massachusetts,25009208101,92235,5683,0.24775646665493578,0.028940568475452195,0.09726932000713903
2081.02,Essex,Massachusetts,25009208102,97000,3090,0.2779935275080906,0.060430463576158944,0.06510244547257105
2082,Essex,Massachusetts,25009208200,87420,5395,0.17015755329008342,0.1025420077552779,0.11733086190917516
2083.01,Essex,Massachusetts,25009208301,81512,3082,0.23880597014925375,0.1,0.0937062937062937
2083.02,Essex,Massachusetts,25009208302,100476,5283,0.30285822449365896,0.024858757062146894,0.03653227332954761
2084.01,Essex,Massachusetts,25009208401,102056,3200,0.11031250000000004,0.01636520241171404,0.1175
